Name,Date,Value
DowJones,2020-02-19,29348.03
DowJones,2020-02-20,29219.98
DowJones,2020-02-21,28992.41
DowJones,2020-02-24,27960.8
DowJones,2020-02-25,27081.36
DowJones,2020-02-26,26957.59
DowJones,2020-02-27,25766.64
DowJones,2020-02-28,25409.36
DowJones,2020-03-02,26703.32
DowJones,2020-03-03,25917.41
DowJones,2020-03-04,27090.86
DowJones,2020-03-05,26121.28
DowJones,2020-03-06,25864.78
DowJones,2020-03-09,23851.02
DowJones,2020-03-10,25018.16
DowJones,2020-03-11,23553.22
DowJones,2020-03-12,21200.62
DowJones,2020-03-13,23185.62
DowJones,2020-03-16,20188.52
DowJones,2020-03-17,21237.38
DowJones,2020-03-18,19898.92
DowJones,2020-03-19,20087.19
DowJones,2020-03-20,19173.98
DowJones,2020-03-23,18591.93
DowJones,2020-03-24,20704.91
DowJones,2020-03-25,21200.55
DowJones,2020-03-26,22552.17
DowJones,2020-03-27,21636.78
DowJones,2020-03-30,22327.48
DowJones,2020-03-31,21917.16
DowJones,2020-04-01,20943.51
DowJones,2020-04-02,21413.44
DowJones,2020-04-03,21052.53
DowJones,2020-04-06,22679.99
DowJones,2020-04-07,22653.86
DowJones,2020-04-08,23433.57
DowJones,2020-04-09,23719.37
DowJones,2020-04-13,23390.77
DowJones,2020-04-14,23949.76
DowJones,2020-04-15,23504.35
DowJones,2020-04-16,23537.68
DowJones,2020-04-17,24242.49
DowJones,2020-04-20,23650.44
DowJones,2020-04-21,23018.88
DowJones,2020-04-22,23475.82
DowJones,2020-04-23,23515.26
DowJones,2020-04-24,23775.27
DowJones,2020-04-27,24133.78
DowJones,2020-04-28,24101.55
DowJones,2020-04-29,24633.86
DowJones,2020-04-30,24345.72
DowJones,2020-05-01,23723.69
DowJones,2020-05-04,23749.76
DowJones,2020-05-05,23883.09
DowJones,2020-05-06,23664.64
DowJones,2020-05-07,23875.89
DowJones,2020-05-08,24331.32
Nasdaq100,2019-01-02,6360.87
Nasdaq100,2019-01-03,6147.13
Nasdaq100,2019-01-04,6422.67
Nasdaq100,2019-01-07,6488.25
Nasdaq100,2019-01-08,6551.85
Nasdaq100,2019-01-09,6600.69
Nasdaq100,2019-01-10,6620.94
Nasdaq100,2019-01-11,6601.4
Nasdaq100,2019-01-14,6541.04
Nasdaq100,2019-01-15,6669.64
Nasdaq100,2019-01-16,6668.56
Nasdaq100,2019-01-17,6718.45
Nasdaq100,2019-01-18,6784.61
Nasdaq100,2019-01-22,6646.81
Nasdaq100,2019-01-23,6658.76
Nasdaq100,2019-01-24,6702.55
Nasdaq100,2019-01-25,6787.37
Nasdaq100,2019-01-28,6697.09
Nasdaq100,2019-01-29,6632.79
Nasdaq100,2019-01-30,6807.91
Nasdaq100,2019-01-31,6906.84
Nasdaq100,2019-02-01,6875.52
Nasdaq100,2019-02-04,6959.96
Nasdaq100,2019-02-05,7023.52
Nasdaq100,2019-02-06,6997.62
Nasdaq100,2019-02-07,6904.98
Nasdaq100,2019-02-08,6913.13
Nasdaq100,2019-02-11,6909.18
Nasdaq100,2019-02-12,7014.67
Nasdaq100,2019-02-13,7015.88
Nasdaq100,2019-02-14,7022.42
Nasdaq100,2019-02-15,7055.18
Nasdaq100,2019-02-19,7066.61
Nasdaq100,2019-02-20,7062.34
Nasdaq100,2019-02-21,7035.16
Nasdaq100,2019-02-22,7090.63
Nasdaq100,2019-02-25,7115.43
Nasdaq100,2019-02-26,7123.22
Nasdaq100,2019-02-27,7117.0
Nasdaq100,2019-02-28,7097.53
Nasdaq100,2019-03-01,7151.57
Nasdaq100,2019-03-04,7150.83
Nasdaq100,2019-03-05,7156.79
Nasdaq100,2019-03-06,7112.47
Nasdaq100,2019-03-07,7026.88
Nasdaq100,2019-03-08,7015.69
Nasdaq100,2019-03-11,7164.02
Nasdaq100,2019-03-12,7201.28
Nasdaq100,2019-03-13,7256.98
Nasdaq100,2019-03-14,7243.01
Nasdaq100,2019-03-15,7306.99
Nasdaq100,2019-03-18,7326.28
Nasdaq100,2019-03-19,7349.28
Nasdaq100,2019-03-20,7380.75
Nasdaq100,2019-03-21,7493.27
Nasdaq100,2019-03-22,7326.06
Nasdaq100,2019-03-25,7316.96
Nasdaq100,2019-03-26,7351.15
Nasdaq100,2019-03-27,7308.19
Nasdaq100,2019-03-28,7320.47
Nasdaq100,2019-03-29,7378.77
Nasdaq100,2019-04-01,7478.42
Nasdaq100,2019-04-02,7499.64
Nasdaq100,2019-04-03,7544.97
Nasdaq100,2019-04-04,7540.57
Nasdaq100,2019-04-05,7578.84
Nasdaq100,2019-04-08,7599.74
Nasdaq100,2019-04-09,7568.49
Nasdaq100,2019-04-10,7611.49
Nasdaq100,2019-04-11,7594.89
Nasdaq100,2019-04-12,7628.15
Nasdaq100,2019-04-15,7629.12
Nasdaq100,2019-04-16,7654.73
Nasdaq100,2019-04-17,7680.72
Nasdaq100,2019-04-18,7689.72
Nasdaq100,2019-04-22,7713.49
Nasdaq100,2019-04-23,7810.71
Nasdaq100,2019-04-24,7784.41
Nasdaq100,2019-04-25,7816.92
Nasdaq100,2019-04-26,7826.68
Nasdaq100,2019-04-29,7839.04
Nasdaq100,2019-04-30,7781.46
Nasdaq100,2019-05-01,7751.85
Nasdaq100,2019-05-02,7724.06
Nasdaq100,2019-05-03,7845.73
Nasdaq100,2019-05-06,7794.09
Nasdaq100,2019-05-07,7640.15
